"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1290","get started link","chromium","2026-03-27","passed","2026-03-27","","example.spec.ts","",""
"","11902","has title","firefox","2026-03-27","passed","2026-03-27","","example.spec.ts","",""
"","2841","has title","webkit","2026-03-27","passed","2026-03-27","","example.spec.ts","",""
"","3286","get started link","webkit","2026-03-27","passed","2026-03-27","","example.spec.ts","",""
"","31815","DemoWebShop: register, login, search, add-to-cart, verify cart","firefox","2026-03-27","broken","2026-03-27","","e2e\demowebshop-smoke.spec.ts","",""
"","19994","DemoWebShop: register, login, search, add-to-cart, verify cart","webkit","2026-03-27","failed","2026-03-27","","e2e\demowebshop-smoke.spec.ts","",""
"","7252","get started link","firefox","2026-03-27","passed","2026-03-27","","example.spec.ts","",""
"","5273","DemoWebShop: register, login, search, add-to-cart, verify cart","chromium","2026-03-27","passed","2026-03-27","","e2e/demowebshop-smoke.spec.ts","",""
"","680","has title","chromium","2026-03-27","passed","2026-03-27","","example.spec.ts","",""
